threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,negative_accuracy,negative_f1,negative_precision,negative_recall,neutral_accuracy,neutral_f1,neutral_precision,neutral_recall,positive_accuracy,positive_f1,positive_precision,positive_recall
1.0,9801140685.162224,243892856,12.283014630999533,12.283014630999523,0.7156196943972836,0.7124065206094073,0.7206954138121648,0.7156196943972836,0.8231768231768232,0.7298494242692648,0.6555290373906125,0.8231768231768232,0.5881118881118881,0.6509287925696594,0.7287694974003466,0.5881118881118881,0.7833182230281052,0.7762803234501348,0.7693677649154052,0.7833182230281052
1.1,9689028305.350906,241103037,13.286383554627035,13.286383554627045,0.7102433503112621,0.7097763279591627,0.7096247606688219,0.7102433503112621,0.7262737262737263,0.7144963144963145,0.7030947775628626,0.7262737262737263,0.6545454545454545,0.6664293342826628,0.6787527193618564,0.6545454545454545,0.7679057116953762,0.7616906474820144,0.7555753791257805,0.7679057116953762
1.2000000000000002,9580554630.252117,238403764,14.2571872679098,14.25718726790981,0.698641765704584,0.6995477752026924,0.7031843404478024,0.698641765704584,0.6523476523476524,0.6830543933054394,0.716794731064764,0.6523476523476524,0.706993006993007,0.6706467661691542,0.6378548895899053,0.706993006993007,0.729827742520399,0.7519850537132181,0.7755298651252408,0.729827742520399
1.3,9475533155.45295,235790396,15.197094923998812,15.197094923998822,0.6683644595359366,0.6678985272478691,0.6893644309464084,0.6683644595359366,0.5404595404595405,0.6214819069500287,0.731081081081081,0.5404595404595405,0.7706293706293706,0.6664650740852737,0.5871070857751731,0.7706293706293706,0.6518585675430644,0.7118811881188118,0.7840785169029444,0.6518585675430644
1.4000000000000001,9373516567.740726,233251802,16.110109829018548,16.110109829018548,0.6395019807583475,0.6316543573064052,0.6892202610753267,0.6395019807583475,0.4065934065934066,0.5348226018396847,0.781190019193858,0.4065934065934066,0.8335664335664336,0.6613037447988904,0.5480459770114943,0.8335664335664336,0.599274705349048,0.6810922205048944,0.788782816229117,0.599274705349048
1.5,9274487144.976664,230787541,16.996390590282008,16.996390590282008,0.543859649122807,0.49267562199487314,0.6938871746277362,0.543859649122807,0.15284715284715283,0.25910245554614736,0.85,0.15284715284715283,0.9391608391608391,0.6280102875847556,0.47172462240955393,0.9391608391608391,0.386219401631913,0.529192546583851,0.8402366863905325,0.386219401631913
1.6,9178310584.69407,228394271,17.857139170691706,17.857139170691696,0.477645727221279,0.37599441989610816,0.7226911251884719,0.477645727221279,0.028971028971028972,0.05625606207565471,0.9666666666666667,0.028971028971028972,0.9783216783216783,0.6035375323554789,0.43636930754834685,0.9783216783216783,0.2357207615593835,0.371163454675232,0.87248322147651,0.2357207615593835
1.7000000000000002,9084559023.828045,226061345,18.69618480394699,18.69618480394699,0.43067345783814376,0.28824042283004225,0.7464075687113998,0.43067345783814376,0.00999000999000999,0.019782393669634024,1.0,0.00999000999000999,0.9965034965034965,0.586178527354998,0.4152097902097902,0.9965034965034965,0.07887579329102448,0.14560669456066946,0.9456521739130435,0.07887579329102448
1.8,8993116725.962048,223785883,19.514563292908214,19.514563292908214,0.4128466327108093,0.2506116727199084,0.7604481268977054,0.4128466327108093,0.004995004995004995,0.009940357852882704,1.0,0.004995004995004995,1.0,0.5795339412360689,0.4079885877318117,1.0,0.021758839528558477,0.04259094942324756,1.0,0.021758839528558477
1.9000000000000001,8903795900.722992,221563212,20.313955299647034,20.313955299647034,0.40888511601584604,0.24224061292413712,0.7597913372840751,0.40888511601584604,0.001998001998001998,0.003988035892323031,1.0,0.001998001998001998,1.0,0.5778945241462922,0.4063654447286161,1.0,0.011786038077969175,0.023297491039426525,1.0,0.011786038077969175
