threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model_id
1.7000000000000002,3703650225.8105497,44386297,33.70727946582757,33.70727946582757,0.981,0.9809957240379086,0.9814332899609648,0.981,0.996,0.98128078817734,0.966990291262136,0.996,0.966,0.9807106598984772,0.9958762886597938,0.966,2
1.8,3633651988.6241794,43547405,34.96019842219721,34.96019842219722,0.98,0.9799948786889444,0.9804920238324044,0.98,0.996,0.9803149606299212,0.9651162790697676,0.996,0.964,0.9796747967479674,0.9958677685950412,0.964,2
1.9,3566017142.7564383,42736837,36.17081434489838,36.170814344898375,0.978,0.9779928696897796,0.9786202918983,0.978,0.996,0.9783889980353636,0.9613899613899614,0.996,0.96,0.9775967413441956,0.995850622406639,0.96,2
2.0,3500655821.9296036,41953516,37.34073577676615,37.34073577676617,0.976,0.9759903961584636,0.9767628205128206,0.976,0.996,0.976470588235294,0.9576923076923076,0.996,0.956,0.9755102040816328,0.9958333333333332,0.956,2
2.1,3437506196.142014,41196701,38.47106943111604,38.47106943111606,0.971,0.9709818636647904,0.9721804511278196,0.971,0.996,0.9717073170731708,0.9485714285714286,0.996,0.946,0.9702564102564104,0.9957894736842106,0.946,2
2.2,3376185603.602,40461806,39.56866468347424,39.56866468347424,0.962,0.961950688091767,0.9644074884199691,0.962,0.998,0.9633204633204632,0.9309701492537312,0.998,0.926,0.9605809128630706,0.9978448275862069,0.926,2
2.3000000000000003,3316403251.386761,39745346,40.63872652156615,40.63872652156615,0.953,0.952904631879556,0.9566992640387136,0.953,0.998,0.955023923444976,0.9155963302752294,0.998,0.908,0.950785340314136,0.9978021978021978,0.908,2
2.4000000000000004,3258166565.771799,39047410,41.68112202031068,41.68112202031069,0.946,0.9458535881022284,0.950876682194617,0.946,0.998,0.9486692015209124,0.9039855072463768,0.998,0.894,0.9430379746835444,0.9977678571428572,0.894,2
2.5,3201308497.2789383,38365996,42.698841247262024,42.69884124726203,0.941,0.9408076841658548,0.9468066998715304,0.941,0.998,0.9441816461684012,0.895870736086176,0.998,0.884,0.9374337221633086,0.9977426636568848,0.884,2
2.6,3145742350.399773,37700065,43.69343599072625,43.69343599072626,0.936,0.9357530346652532,0.9428086254245276,0.936,0.998,0.9397363465160076,0.8879003558718861,0.998,0.874,0.9317697228144988,0.997716894977169,0.874,2
2.7,3091199026.948929,37046392,44.669722917967206,44.66972291796719,0.94,0.9397974787184088,0.9460013947679982,0.94,0.998,0.943289224952741,0.8942652329749103,0.998,0.882,0.9363057324840764,0.997737556561086,0.882,2
2.8000000000000003,3037760883.487324,36405964,45.6262279047711,45.6262279047711,0.936,0.9357530346652532,0.9428086254245276,0.936,0.998,0.9397363465160076,0.8879003558718861,0.998,0.874,0.9317697228144988,0.997716894977169,0.874,2
2.9000000000000004,2985326038.1903563,35777560,46.564774563767145,46.564774563767145,0.937,0.9367647014541108,0.943602580812818,0.937,0.998,0.94062205466541,0.8894830659536542,0.998,0.876,0.9329073482428116,0.9977220956719818,0.876,2
3.0,2933763655.10309,35159612,47.487704766046704,47.48770476604671,0.942,0.9418303773804414,0.947216331288145,0.942,0.996,0.9449715370018976,0.8989169675090253,0.996,0.888,0.9386892177589852,0.9955156950672646,0.888,2
3.1,2883025838.9205933,34551546,48.395875803705735,48.395875803705735,0.943,0.9428394359756556,0.9480341112742778,0.943,0.996,0.945868945868946,0.9005424954792043,0.996,0.89,0.9398099260823654,0.9955257270693512,0.89,2
3.2,2832976747.2100616,33951734,49.29171916024983,49.29171916024983,0.939,0.9388011649850364,0.9447803656317502,0.939,0.996,0.9422894985808892,0.8940754039497307,0.996,0.882,0.9353128313891834,0.9954853273137696,0.882,2
